id;siglaTipo;numero;ano;eco_score_neural
2620335;PRL;1;0;43.55209
2620334;PRL;1;0;44.04214
2620333;PRL;1;0;43.119392
2620332;PRL;1;0;43.88799
2620331;PRL;1;0;44.25502
2620330;PRL;1;0;43.88538
2620329;PRL;1;0;43.556057
2620328;PRL;1;0;43.80545
2620327;PRL;1;0;43.003006
2620326;PRL;1;0;42.495483
2620325;PRL;1;0;41.982044
2620324;PRL;1;0;41.694397
2620323;PRL;1;0;42.05293
2620322;PRL;1;0;42.39492
2620321;PRL;1;0;42.174618
2620320;PRL;1;0;44.128407
2620319;PRL;1;0;42.693535
2620318;PRL;1;0;43.61859
2620317;PRL;1;0;42.24499
2620316;PRL;1;0;44.27811
2620315;SBT-A;1;0;44.22675
2620314;PAR;1;0;46.67548
2620313;REQ;2;2026;65.6879
2620312;REQ;2557;2026;51.981117
2620311;RIC;1106;2026;63.130093
2620310;REQ;27;2026;64.551674
2620309;REQ;2556;2026;51.93206
2620308;REQ;26;2026;68.77003
2620307;REQ;25;2026;61.274563
2620220;SBT-A;1;0;43.412884
2620306;REQ;24;2026;68.75382
2620305;REQ;23;2026;60.53047
2620304;MSC;331;2026;54.74882
2620303;PRL;1;0;41.37686
2620302;DOC;711;2026;19.020561
2620301;REQ;2555;2026;52.13447
2620300;PL;2113;2026;55.41685
2620299;EMR;1;0;59.98265
2620298;PRL;1;0;47.191517
2620297;SBT;1;0;59.12786
2620296;DOC;710;2026;19.020561
2620295;SBT;1;0;63.392376
2620294;SBT;7;0;58.333622
2620293;REQ;2554;2026;56.20979
2620292;PL;2112;2026;59.52907
2620291;PRL;1;0;41.34457
2620290;PL;2111;2026;54.096233
2620289;PRL;1;0;41.34457
2620288;PRL;1;0;42.607162
2620287;PRL;7;0;59.286118
2620286;REQ;126;2026;54.594254
2620285;REQ;125;2026;57.612835
2620284;REQ;39;2026;55.306225
2620283;REQ;124;2026;56.10946
2620282;PRL;2;0;55.915344
2620281;PRL;1;0;57.29435
2620280;SBT-A;1;0;43.182167
2620279;PAR;1;0;48.14056
2620278;PAR;1;0;50.133675
2620277;SBT-A;1;0;43.622803
2620276;PAR;1;0;48.587833
2620275;PAR;1;0;49.507614
2620274;SBT-A;1;0;45.174934
2620273;PAR;1;0;50.036842
2620272;ATA;68;2026;40.94035
2620271;PL;2110;2026;55.27616
2620270;SBT-A;1;0;45.574303
2620269;PAR;1;0;50.304634
2620268;PL;2109;2026;52.610184
2620267;ATA;68;2026;40.94035
2620266;INC;665;2026;54.21952
2620265;INC;664;2026;56.048553
2620264;PAR;1;0;48.5352
2620263;PAR;1;0;48.896973
2620262;PAR;1;0;49.46669
2620261;REQ;21;2026;55.873238
2620260;SBT-A;1;0;43.7526
2620259;PAR;1;0;48.638504
2620258;INC;663;2026;68.966446
2620257;PL;2108;2026;62.069275
2620256;PAR;1;0;49.6922
2620255;EMC-A;1;0;44.156055
2620254;REQ;27;2026;58.29724
2620253;PAR;1;0;49.023037
2620252;REQ;2553;2026;59.590458
2620251;SBT;1;0;63.533356
2620250;SBT;3;0;60.645718
2620249;PRL;3;0;43.144165
2620248;PRL;1;0;44.579704
2620247;SBT;2;0;57.610733
2620246;PRL;2;0;42.80551
2620245;PRL;2;0;43.144165
2620244;REQ;2552;2026;48.9313
2620243;PL;2106;2026;56.843464
2620242;REQ;2551;2026;59.307533
2620241;PAR;1;0;48.418674
2620240;PAR;1;0;47.81121
2620239;PRL;1;0;41.216324
2620238;SBT;1;0;61.488377
2620237;EMC-A;1;0;44.274605
2620236;PRL;1;0;55.20208
2620235;DOC;709;2026;19.020561
2620234;PAR;1;0;47.82345
2620233;PAR;1;0;47.11692
2620232;EMC-A;1;0;43.129257
2620231;PAR;1;0;46.699432
2620230;PAR;1;0;46.775753
2620229;DOC;708;2026;19.020561
2620228;SBE-A;1;0;42.480362
2620227;PL;2105;2026;57.7153
2620226;EMC-A;3;0;43.676147
2620225;EMC-A;2;0;43.676147
2620224;EMC-A;1;0;43.676147
2620223;PAR;1;0;47.20463
2620222;PRL;1;0;42.866497
2620221;REQ;69;2026;65.50868
2620219;PAR;1;0;45.353508
2620218;PAR;1;0;48.431023
2620217;EMC-A;1;0;42.24548
2620216;EMC-A;1;0;42.24548
2620215;EMC-A;1;0;42.24548
2620214;PL;2104;2026;56.71745
2620213;EMC-A;2;0;42.245476
2620212;EMC-A;1;0;42.245476
2620211;PAR;1;0;45.89471
2620210;DOC;707;2026;19.020561
2620209;REQ;2550;2026;54.880066
2620208;SBT;1;0;55.447376
2620207;PL;2103;2026;57.40779
2620206;PAR;1;0;47.17479
2620205;PAR;1;0;46.671894
2620204;PAR;1;0;44.84255
2620203;PAR;1;0;47.28118
2620202;PAR;1;0;48.035793
2620201;PAR;1;0;48.91704
2620200;PAR;1;0;49.493645
2620199;PL;2102;2026;58.314163
2620198;SBT;1;0;19.020561
2620197;PL;2101;2026;53.551483
2620196;PAR;1;0;48.841167
2620195;PAR;1;0;48.66778
2620194;OF;12;2026;46.700466
2620193;OF;11;2026;46.683247
2620192;OF;10;2026;45.124363
2620191;PAR;1;0;49.244106
2620190;PAR;1;0;47.86703
2620189;PRL;1;0;41.32431
2620188;PRL;1;0;45.089973
2620186;PRL;1;0;43.187473
2620185;PRL;6;0;42.340904
2620184;PRL;1;0;44.780056
2620183;PAR;1;0;46.890144
2620182;RDF;1;0;43.10913
2620181;PRL;2;0;55.168854
2620180;PPP;1;0;55.144524
2620179;REQ;2549;2026;55.626225
2620178;PL;2100;2026;58.84234
2620177;ATA;290;2026;37.606155
2620176;ATA;66;2026;37.606155
2620175;PL;2099;2026;58.609207
2620174;PL;2098;2026;54.09424
2620173;SBR;1;0;57.820225
2620172;PAR;1;0;43.05254
2620171;EMC-A;1;0;41.02404
2620170;PRL;1;0;58.26311
2620169;RIC;1105;2026;55.615997
2620168;REQ;4;2026;59.99453
2620167;SBT;2;0;52.76354
2620166;RDF;1;0;39.402504
2620165;PRL;2;0;43.316864
2620164;SBT;4;0;63.821983
2620163;SBT-A;1;0;41.931904
2620162;PAR;1;0;43.63021
2620161;PAR;1;0;47.583607
2620160;SBT;2;0;19.020561
2620159;PRL;4;0;54.637398
2619751;PARF;1;0;49.19655
2620157;REQ;2548;2026;54.55139
2620156;PRL;2;0;50.707634
2620155;REQ;2547;2026;56.210983
2620153;PAR;1;0;48.85215
2620152;PL;2097;2026;54.894543
2620151;SBT;1;0;19.020561
2620150;PDL;271;2026;66.414246
2620149;PL;2096;2026;62.196297
2620148;REQ;3;2026;54.10704
2620147;REQ;2;2026;49.027626
2620146;PPP;1;0;61.069786
2620145;REQ;1;2026;56.74115
2620144;EMP;1;0;55.59272
2620143;RIC;1104;2026;52.920055
2620142;INC;662;2026;54.26781
2620141;REQ;2546;2026;49.251602
2620140;SBT;1;0;64.2623
2620139;PRL;1;0;43.73494
2620138;DOC;706;2026;19.020561
2620137;SSP;1;0;19.020561
2619750;PARF;1;0;46.903297
2620136;EMP;1;0;53.197308
2620135;PL;2095;2026;62.228
2620134;PEP;1;0;57.75139
2620133;PL;2094;2026;58.881474
2620132;PL;2093;2026;58.184837
2620131;PL;2092;2026;62.46566
2620130;DOC;705;2026;19.020561
2620129;REQ;2545;2026;51.916676
2620128;PL;2091;2026;56.531322
2620127;PL;2090;2026;57.880676
2620126;DOC;704;2026;19.020561
2620125;DOC;703;2026;19.020561
2620124;PPP;1;0;60.46138
2620123;PRL;1;0;43.057858
2620122;RIC;1103;2026;61.42506
2620121;PRL;1;0;41.613663
2620120;PRL;1;0;51.82557
2620119;DOC;450;2026;56.393993
2620117;REQ;2544;2026;52.122295
2620116;REQ;1;2026;64.33025
2620115;RIC;1102;2026;57.73729
2620109;EMR;2;0;50.440235
2620108;EMR;1;0;50.440235
2620107;PRL;1;0;52.22082
2620106;RIC;1101;2026;57.845585
2620105;RIC;1100;2026;60.421562
2620104;RPD;2;0;47.457607
2620103;DTQ;2;0;45.12661
2620102;SBR;1;0;57.355762
2620101;EMR;1;0;57.355762
2620100;PRC;25;2026;52.897335
2620099;PL;2089;2026;57.976578
2620098;PRL;1;0;58.48657
2620097;PRV;2;0;42.378815
2620095;EMC;4;2026;61.52984
